Day,Date,Daily Rainfall Total (mm),Highest30-min Rainfall (mm),Highest60-min Rainfall (mm),Highest120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
,10 August 2022,0,0,0,0,28.6,33.5,25.5,4,23,2022,August
,11 August 2022,0,0,0,0,29.5,34.7,26.1,4.1,20.6,2022,August
,12 August 2022,0,0,0,0,28.9,33.7,26.1,3.8,22.4,2022,August
,13 August 2022,6.2,5,6,6.2,26.9,31.8,23.9,3,23.3,2022,August
,14 August 2022,6,6,6,6,27.6,32.7,23.9,3,17.2,2022,August
,15 August 2022,0.2,0.2,0.2,0.2,28,32.3,25.6,2.9,21.7,2022,August
,16 August 2022,11.8,11,11,11,27,32.1,24,2.7,21.7,2022,August
,17 August 2022,1,1,1,1,28.4,33.5,25.3,3.9,26.3,2022,August
,18 August 2022,1.2,1.2,1.2,1.2,28.5,33.8,25.6,4.1,23.3,2022,August
,19 August 2022,0,0,0,0,28.2,33.6,26,3.8,23,2022,August
,20 August 2022,12.2,11.8,12.2,12.2,27.2,32.7,24.6,3.5,23.3,2022,August
,21 August 2022,6,3.2,4.2,5.6,25.9,30.3,23.7,3.2,20.9,2022,August
,22 August 2022,0,0,0,0,28.2,33.4,24.7,3.9,18.7,2022,August
,23 August 2022,1.8,1.2,1.4,1.6,26.3,29.2,24.2,2.8,28.9,2022,August
,24 August 2022,10.4,5.2,8.4,10.4,26.9,32.6,23.8,3.1,23.3,2022,August
,25 August 2022,35.8,22.2,22.6,26.2,26,30.9,23.7,3.3,32,2022,August
,26 August 2022,5.6,1.2,1.8,2.6,25.5,27,24.2,2.5,19.8,2022,August
,27 August 2022,9.4,7.2,7.2,7.6,26.1,32.4,23.2,3.1,29.8,2022,August
,28 August 2022,0,0,0,0.2,26.7,31.9,24,3.2,21.7,2022,August
,29 August 2022,6,2.8,3.6,4.2,26.1,30.1,24.3,2.9,16.9,2022,August
,30 August 2022,1.2,0.4,0.6,0.8,26.1,29.4,24.7,2.6,17.6,2022,August
,31 August 2022,0,0,0,0,28,33.2,24.9,2.9,19.4,2022,August
,01 September 2022,-,-,-,-,-,-,-,-,-,2022,September
,02 September 2022,33.8,15.2,16.8,17.4,25.7,28.7,23.7,2.9,23.3,2022,September
,03 September 2022,0,0,0,0,27.6,33,24.5,3.9,26.7,2022,September
,04 September 2022,0.6,0.6,0.6,0.6,26.8,32,25,2.2,22.6,2022,September
,05 September 2022,5,4.2,4.4,5,26.3,32.8,23.6,2.9,30.2,2022,September
,06 September 2022,0,0,0,0,27.6,33.1,24.5,2.9,19.1,2022,September
,07 September 2022,1.2,0.8,0.8,0.8,26.4,29.6,24.6,3.7,22,2022,September
,08 September 2022,0,0,0,0,27.5,32.3,24.8,2.4,15.2,2022,September
,09 September 2022,8.2,3.6,4.2,7.8,26.1,30.8,24.5,2.4,15.7,2022,September
,10 September 2022,0.2,0.2,0.2,0.2,27.8,33,24.4,3.4,22,2022,September
,11 September 2022,0.8,0.4,0.4,0.4,26.6,31.2,24.2,3.6,37,2022,September
,12 September 2022,0,0,0,0.4,27.4,32.7,22.9,3.2,19.8,2022,September
,13 September 2022,0,0,0,0,26.7,31.5,25.1,3.6,20.9,2022,September
,14 September 2022,0.2,0.2,0.2,0.2,26.4,30.5,25.2,4.7,31.3,2022,September
,15 September 2022,0,0,0,0,27.4,33.1,24.8,3,21.7,2022,September
,16 September 2022,0,0,0,0,28,33.1,24.5,3.3,18.7,2022,September
,17 September 2022,1.2,1.2,1.2,1.2,27.1,31,24.8,2.6,23.3,2022,September
,18 September 2022,70,28.4,41.2,58,25.2,27.1,22.7,3.5,22.6,2022,September
,19 September 2022,0,0,0,0,27,31.3,24.4,2.6,14.1,2022,September
,20 September 2022,0.6,0.4,0.6,0.6,26.2,29,23.7,2.3,23.3,2022,September
,21 September 2022,0.2,0.2,0.2,0.2,27.9,33.2,24.5,3.4,20.6,2022,September
,22 September 2022,6.8,4.2,5.2,5.8,25.9,28.9,23.3,3.8,32.8,2022,September
,23 September 2022,0,0,0,0,28.1,32.7,24.6,3.1,19.1,2022,September
,24 September 2022,1,0.6,0.8,0.8,27.1,32.1,24.2,3.3,20.9,2022,September
,25 September 2022,28.6,17.8,23.4,26.6,25.8,29.6,22.6,4.2,30.2,2022,September
,26 September 2022,0,0,0,0,27.1,30.6,25.3,2.8,17.6,2022,September
,27 September 2022,0,0,0,0,27.8,33,24.4,3.1,20.6,2022,September
,28 September 2022,14.2,14,14,14,27.8,32.9,24.1,3.4,21.3,2022,September
,29 September 2022,22.2,19,21.8,22.2,26.8,31.6,22.9,2.7,25.2,2022,September
,30 September 2022,0,0,0,0,28.1,33.3,25,3.1,20.2,2022,September
,01 October 2022,-,-,-,-,-,-,-,-,-,2022,October
,02 October 2022,6.8,2.6,5,6.2,26.6,32.6,23.7,3.6,20.9,2022,October
,03 October 2022,71.4,42.2,54,70.8,25.7,31.8,22.9,2.7,20.9,2022,October
,04 October 2022,1.4,1,1,1,26.2,30.4,24.2,2.8,16.9,2022,October
,05 October 2022,38.8,26,32.8,36.8,26,28.9,23.6,3.2,16.1,2022,October
,06 October 2022,3.4,1.2,2,3,25.9,30.7,23.6,3.1,33.5,2022,October
,07 October 2022,17.4,11.8,13.4,13.8,25,29.5,23.3,2.3,21.7,2022,October
,08 October 2022,0,0,0,0,27,32.3,23.8,3.1,18,2022,October
,09 October 2022,0,0,0,0,27.7,32.1,24.8,3.4,15.7,2022,October
,10 October 2022,33.2,18.6,29.2,32.6,25.9,29.2,23,3.2,25.2,2022,October
,11 October 2022,2.6,1.2,1.8,2.4,27.7,33.3,24.1,3.2,18.7,2022,October
,12 October 2022,9.2,8.2,8.2,8.2,25.9,29.5,23.3,4.2,25.6,2022,October
,13 October 2022,0,0,0,0,28,33.2,24.6,3.9,20.6,2022,October
,14 October 2022,0,0,0,0,27.6,32,24.5,4.9,24.1,2022,October
,15 October 2022,3.4,3.4,3.4,3.4,27.8,33.1,25.3,4.8,26.7,2022,October
,16 October 2022,16,4.6,9,12.6,26.3,31.2,23.3,3.4,29.8,2022,October
,17 October 2022,10.4,7.4,8.8,10.2,27.2,32.7,23.5,3.3,29.8,2022,October
,18 October 2022,0,0,0,0,27.8,32.7,24.5,2.8,14.1,2022,October
,19 October 2022,18.8,16.4,16.8,18.4,27.3,31.8,24.1,2.3,19.8,2022,October
,20 October 2022,0,0,0,0,28.8,34.1,25.6,3.3,21.3,2022,October
,21 October 2022,23.4,10.2,10.2,10.4,25.7,29.5,23.1,2,16.1,2022,October
,22 October 2022,4,1.6,2.4,2.4,26.1,32.4,24,3.5,15.6,2022,October
,23 October 2022,0.4,0.2,0.4,0.4,26.6,30.3,23.9,3.9,16.5,2022,October
,24 October 2022,2,0.6,0.8,1.4,26.8,29.7,25.1,3.8,17.6,2022,October
,25 October 2022,26.8,14.2,23.4,25,26.5,31.6,23.4,3.8,22.4,2022,October
,26 October 2022,0.2,0.2,0.2,0.2,26.1,29.2,24.1,3.8,24.1,2022,October
,27 October 2022,0.6,0.4,0.6,0.6,27.5,32.9,24.2,6,27.4,2022,October
,28 October 2022,6.5,5.8,5.8,5.8,-,-,-,-,-,2022,October
,29 October 2022,0,0,0,0,-,-,-,-,-,2022,October
,30 October 2022,22.6,12.4,13.4,22,27,32.2,23.4,3.8,24.8,2022,October
,31 October 2022,26.8,19.4,27.2,33.6,26.7,32.3,23.2,4.2,22.4,2022,October
,01 November 2022,-,-,-,-,-,-,-,-,-,2022,November
,02 November 2022,0,0,0,0,26.9,31.3,24.2,3.2,18.7,2022,November
,03 November 2022,0.2,0.2,0.2,0.2,26.9,32.4,24.1,2.8,12.2,2022,November
,04 November 2022,0.2,0.2,0.2,0.2,28.3,33.9,24.3,3.6,21.7,2022,November
